province_id,province_name,population,population_kmsquare,confirmed,deceased,released,longitude,latitude
1,Aceh,4906835,86,4,0,0,96.72,3.869
2,Bali,4104900,738,9,2,0,115.12,-8.25
3,Banten,11704877,1298,84,4,1,106.16,-6.315
4,Bengkulu,1844800,93,0,0,0,102.315,-3.414
5,DI Yogyakarta,3553100,1134,22,2,1,110.39,-7.863
6,DKI Jakarta,10012271,1353,598,51,31,106.853,-6.162
7,Gorontalo,1115633,93,0,0,0,123.134,0.637194
8,Jambi,3344400,63,1,0,0,103.623,-1.625
9,Jawa Barat,46029668,1306,98,14,5,107.633,-7.144
10,Jawa Tengah,33522663,986,43,6,0,110.1,-7.2099
11,Jawa Timur,38610202,806,66,4,8,112.269,-7.525
12,Kalimantan Barat,4716093,41,4,0,0,109.797,0.043945
13,Kalimantan Selatan,3922790,107,1,0,0,115.048,-3.337
14,Kalimantan Tengah,2439858,16,6,0,0,113.818,-1.889
15,Kalimantan Timur,3351432,17,11,0,0,116.806,0.307616
16,Kalimantan Utara,618384,9,0,0,0,116.378,3.261
17,Kepulauan Bangka Belitung,1343900,82,0,0,0,106.1,-2.114
18,Kepulauan Riau,1917415,237,5,1,0,104.468,0.999705
19,Lampung,8026191,227,4,0,0,105.084,-5.222
20,Maluku,1657409,34,1,0,0,128.5,-3.063
21,Maluku Utara,1138667,27,1,0,0,127.683,0.736064
22,Nusa Tenggara Barat,4773795,239,2,0,0,116.444,-8.635
23,Nusa Tenggara Timur,5036897,106,0,0,0,123.804,-9.774
24,Papua,3091047,10,7,0,0,138.57,-3.579
25,Papua Barat,849809,2,0,0,0,132.659,-1.153
26,Riau,6188442,66,1,0,0,101.513,0.626208
27,Sulawesi Barat,1258090,75,0,0,0,119.336,-2.361
28,Sulawesi Selatan,8432163,183,29,1,0,120.02,-4.554
29,Sulawesi Tengah,2831283,42,1,0,0,120.039,-0.898096
30,Sulawesi Tenggara,2448081,67,3,0,0,121.959,-3.697
31,Sulawesi Utara,2386604,171,2,0,0,124.725,1.277
32,Sumatra Barat,5131900,121,5,0,0,100.118,-0.186767
33,Sumatra Selatan,7941500,93,1,0,0,104.71,-3.107
34,Sumatra Utara,13766851,189,8,1,0,98.712,3.23924
